"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21104330830,"VK200044729","Oscar M Arenas","TBD","09/26/2025 02:04:38 PM","Visa (Apple Pay EMV)","$2.00","209596","0006($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21104333123,"VK200044729","Oscar M Arenas","TBD","09/26/2025 02:04:51 PM","Visa (Apple Pay EMV)","$2.00","890874","0003($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105082091,"VK200044729","Oscar M Arenas","TBD","09/26/2025 04:41:42 PM","Visa (Apple Pay EMV)","$4.00","015713","0002($4.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105416111,"VK200044729","Oscar M Arenas","TBD","09/26/2025 06:12:25 PM","Visa (Apple Pay EMV)","$4.00","304461","0001($4.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105435717,"VK200044729","Oscar M Arenas","TBD","09/26/2025 06:18:34 PM","Visa (Apple Pay EMV)","$2.00","159614","0004($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105583478,"VK200044729","Oscar M Arenas","TBD","09/26/2025 07:05:56 PM","MasterCard (Apple Pay EMV)","$2.00","40918Z","0000($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105597113,"VK200044729","Oscar M Arenas","TBD","09/26/2025 07:10:28 PM","Visa (Apple Pay EMV)","$2.00","147186","0004($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105877265,"VK200044729","Oscar M Arenas","TBD","09/26/2025 09:01:16 PM","Visa (Apple Pay EMV)","$2.00","809824","0000($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105877910,"VK200044729","Oscar M Arenas","TBD","09/26/2025 09:01:31 PM","Visa (Apple Pay EMV)","$4.00","160419","0001($4.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105878936,"VK200044729","Oscar M Arenas","TBD","09/26/2025 09:01:57 PM","Visa (Apple Pay EMV)","$2.00","110611","0000($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105897522,"VK200044729","Oscar M Arenas","TBD","09/26/2025 09:09:48 PM","Visa (Apple Pay EMV)","$2.00","315381","0007($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106224999,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:40:55 AM","Visa (Apple Pay EMV)","$2.00","027088","0000($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106231175,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:47:13 AM","Visa (Apple Pay EMV)","$2.00","027870","0000($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21100419928,"VK200044729","Oscar M Arenas","TBD","09/26/2025 03:11:44 AM","Visa (EMV Contactless)","$2.00","028163","0000($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21105146530,"VK200044729","Oscar M Arenas","TBD","09/26/2025 04:58:37 PM","Visa (EMV Contactless)","$2.00","928955","0007($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21105383257,"VK200044729","Oscar M Arenas","TBD","09/26/2025 06:03:10 PM","MasterCard (EMV Contactless)","$2.00","130023","0006($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21105748697,"VK200044729","Oscar M Arenas","TBD","09/26/2025 08:06:17 PM","Visa (EMV Contactless)","$2.00","204900","0007($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106013007,"VK200044729","Oscar M Arenas","TBD","09/26/2025 10:08:57 PM","Visa (EMV Contactless)","$2.00","098837","0003($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106180315,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:01:48 AM","Visa (EMV Contactless)","$2.00","055718","0000($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106180607,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:02:02 AM","Visa (EMV Contactless)","$2.00","048126","0000($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106201498,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:19:25 AM","MasterCard (EMV Contactless)","$4.00","718081","0001($4.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106202089,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:19:40 AM","MasterCard (EMV Contactless)","$4.00","696658","0001($4.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106202942,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:20:07 AM","MasterCard (EMV Contactless)","$4.00","716275","0001($4.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21106203176,"VK200044729","Oscar M Arenas","TBD","09/27/2025 12:20:31 AM","MasterCard (EMV Contactless)","$4.00","804635","0001($4.00)"
