"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Cash","Processed",21106006043,"VK200044724","Oscar M Arenas","TBD","09/26/2025 10:05:10 PM","Cash","$2.00",,"0E00($2.00)"
"United States Dollars","Credit","Settled",21105438192,"VK200044724","Oscar M Arenas","TBD","09/26/2025 06:19:39 PM","Visa (Swiped)","$2.00","044542","0E01($2.00)"
"United States Dollars","Credit","Settled",21105817425,"VK200044724","Oscar M Arenas","TBD","09/26/2025 08:34:50 PM","Visa (Swiped)","$2.50","048976","0A06($2.50)"
"United States Dollars","Credit","Settled",21105879869,"VK200044724","Oscar M Arenas","TBD","09/26/2025 09:02:16 PM","Visa (Swiped)","$2.50","922095","0B04($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21104243631,"VK200044724","Oscar M Arenas","TBD","09/26/2025 01:49:33 PM","Visa (Apple Pay EMV)","$2.50","609346","0A00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105398696,"VK200044724","Oscar M Arenas","TBD","09/26/2025 06:07:21 PM","Visa (Apple Pay EMV)","$2.50","039328","0B04($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105434077,"VK200044724","Oscar M Arenas","TBD","09/26/2025 06:18:21 PM","Visa (Apple Pay EMV)","$2.50","492693","0A02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105706161,"VK200044724","Oscar M Arenas","TBD","09/26/2025 07:50:34 PM","Visa (Apple Pay EMV)","$2.00","026146","0E02($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21105898860,"VK200044724","Oscar M Arenas","TBD","09/26/2025 09:10:15 PM","Visa (Apple Pay EMV)","$2.50","406961","0A02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106161881,"VK200044724","Oscar M Arenas","TBD","09/26/2025 11:47:04 PM","Visa (Apple Pay EMV)","$2.00","287463","0D01($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106163187,"VK200044724","Oscar M Arenas","TBD","09/26/2025 11:48:00 PM","Visa (Apple Pay EMV)","$2.00","390373","0D04($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106246255,"VK200044724","Oscar M Arenas","TBD","09/27/2025 01:02:13 AM","Visa (Apple Pay EMV)","$2.50","585188","0B00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106246395,"VK200044724","Oscar M Arenas","TBD","09/27/2025 01:02:32 AM","Visa (Apple Pay EMV)","$2.50","585194","0B00($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21106263192,"VK200044724","Oscar M Arenas","TBD","09/27/2025 01:19:02 AM","Visa (Apple Pay EMV)","$2.50","109195","0B00($2.50)"
"United States Dollars","Credit","Settled",21105434615,"VK200044729","Oscar M Arenas","TBD","09/26/2025 06:18:20 PM","Visa (Swiped)","$2.00","580635","0008($2.00)"
