"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Cash","Processed",21113321206,"VK200044724","Oscar M Arenas","TBD","09/28/2025 10:28:25 PM","Cash","$2.50",,"0A02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21110838344,"VK200044724","Oscar M Arenas","TBD","09/28/2025 08:32:41 AM","MasterCard (Apple Pay EMV)","$2.50","183120","0B02($2.50)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21110928155,"VK200044724","Oscar M Arenas","TBD","09/28/2025 09:00:43 AM","MasterCard (Apple Pay EMV)","$2.00","160602","0E04($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21110930068,"VK200044724","Oscar M Arenas","TBD","09/28/2025 09:01:09 AM","MasterCard (Apple Pay EMV)","$2.00","160602","0E03($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21111397990,"VK200044724","Oscar M Arenas","TBD","09/28/2025 11:08:38 AM","MasterCard (Apple Pay EMV)","$2.00","180783","0D02($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21111674067,"VK200044724","Oscar M Arenas","TBD","09/28/2025 12:17:59 PM","MasterCard (Apple Pay EMV)","$2.50","151175","0B00($2.50)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",21112037725,"VK200044729","Oscar M Arenas","TBD","09/28/2025 01:51:25 PM","Visa (Apple Pay Cash EMV)","$2.00","762319","0007($2.00)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",21113348570,"VK200044729","Oscar M Arenas","TBD","09/28/2025 10:50:42 PM","Visa (Apple Pay EMV)","$2.00","029670","0000($2.00)"
"United States Dollars","Credit (EMV Contactless)","Settled",21113278500,"VK200044729","Oscar M Arenas","TBD","09/28/2025 09:58:00 PM","Visa (EMV Contactless)","$2.00","185279","0000($2.00)"
